id,SMILES,is_monomer,is_dimer,is_cyclic,has_disulfide_bond,SIF_class,SGF_class,SIF_class_min,SGF_class_min,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
47,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCCN)C(N)=O)C(C)(C)SSC1(C)C,True,False,True,True,180,,180,-1,,,,,,,,,,,,,,,,
48,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(=O)N2CCC[C@H]2C(=O)N[C@H](CCCCN)C(N)=O)C(C)(C)SSC1(C)C,True,False,True,True,180,,180,-1,,,,,,,,,,,,,,,,
49,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)N[C@@H](CCc2ccccc2)C(=O)N[C@H](CCCCN)C(N)=O)C(C)(C)SSC1(C)C,True,False,True,True,180,,180,-1,,,,,,,,,,,,,,,,
50,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NC2(C(=O)N[C@H](CCCCN)C(N)=O)Cc3ccccc3C2)C(C)(C)SSC1(C)C,True,False,True,True,104,,104,-1,,,,,,,,,,,,,,,,
51,CC(C)C[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(=O)CCN)C(C)(C)SSC(C)(C)[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(N)=O)NC1=O,True,False,True,True,180,,180,-1,,,,,,,,,,,,,,,,
52,CC(C)C[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(=O)CCN)C(C)(C)SSC(C)(C)[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CCC(=O)O)C(N)=O)NC1=O,True,False,True,True,117,,117,-1,,,,,,,,,,,,,,,,
53,CC(C)C[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(=O)CCNC(=O)COCC(=O)NCCC(=O)N[C@@H]2C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)N[C@@H](CCC(=O)O)C(N)=O)C(C)(C)SSC2(C)C)C(C)(C)SSC(C)(C)[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(N)=O)NC1=O,False,True,True,True,180,,180,-1,,,,,,,,,,,,,,,,
54,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](CN)C(N)=O)C(C)(C)SSC1(C)C,True,False,True,True,32,,32,-1,,,,,,,,,,,,,,,,
55,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H](CCN)C(N)=O)C(C)(C)SSC1(C)C,True,False,True,True,180,,180,-1,,,,,,,,,,,,,,,,
56,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](CCCCNC(=O)COCC(=O)NCCCC[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(C)=O)C(C)(C)SSC2(C)C)C(N)=O)C(N)=O)C(C)(C)SSC1(C)C,False,True,True,True,180,,180,-1,,,,,,,,,,,,,,,,
67,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](CCCCNC(=O)COCC(=O)NCCCC[C@@H](NC(=O)[C@@H](CCC(=O)O)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(C)=O)C(C)(C)SSC2(C)C)C(N)=O)C(N)=O)C(C)(C)SSC1(C)C,False,True,True,True,121,,121,-1,,,,,,,,,,,,,,,,
68,CC(=O)N[C@@H]1C(=O)N(C)[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N(C)[C@@H](CCCCNC(=O)COCC(=O)NCCCC[C@@H](C(N)=O)N(C)C(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]2NC(=O)[C@H](CC(C)C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)N(C)C(=O)[C@@H](NC(C)=O)C(C)(C)SSC2(C)C)C(N)=O)C(C)(C)SSC1(C)C,False,True,True,True,300,,300,-1,,,,,,,,,,,,,,,,
